Population	SuperPopulation	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20
MGRB	MGRB	-1.59475e-01	-2.24847e-02	3.08961e-02	2.34489e-02	-1.34368e-02	5.02364e-03	-1.51761e-02	1.01738e-02	-1.04730e-02	1.71796e-04	-1.25095e-02	5.07074e-03	1.24405e-02	2.27933e-02	-1.03905e-02	-6.18709e-03	2.36926e-02	5.24633e-03	6.47227e-03	2.13541e-03
MGRB	MGRB	-1.53955e-01	-8.65596e-03	4.09125e-02	1.60687e-02	-1.83094e-02	-1.16066e-03	-1.31992e-02	1.59515e-02	5.90132e-04	8.17533e-03	-1.07083e-02	-1.31369e-02	-1.85900e-02	8.96001e-03	4.98152e-03	-3.59152e-03	3.55828e-03	2.65777e-02	8.15817e-03	-2.38303e-02
MGRB	MGRB	-1.52073e-01	-1.31397e-02	3.85014e-02	1.93305e-02	-1.64471e-02	-1.45188e-02	-2.48867e-02	-4.37520e-03	-3.71506e-04	-1.05149e-02	-6.05367e-03	1.60688e-03	1.81582e-02	-8.13336e-03	1.87510e-03	-8.67981e-03	1.20272e-02	-1.17824e-02	-1.42542e-02	1.45792e-02
MGRB	MGRB	-1.50471e-01	-6.42824e-03	2.56612e-02	1.51840e-02	-1.55459e-02	-7.60044e-03	-2.80794e-02	-3.42884e-03	9.38487e-03	-8.51240e-03	-9.12630e-05	2.92941e-03	-5.36587e-03	-1.45154e-02	-3.78359e-02	-1.45668e-02	-1.47691e-02	1.65658e-02	2.17195e-02	-1.82732e-02
MGRB	MGRB	-1.48792e-01	-1.58412e-02	3.70399e-02	2.00506e-02	-1.77003e-02	1.19332e-03	-1.88095e-02	2.30764e-03	7.53314e-03	1.87342e-03	1.42504e-02	5.50148e-03	6.22918e-03	1.31725e-02	1.64916e-02	-1.03946e-02	-1.99370e-03	6.42532e-03	2.37963e-02	-6.76698e-03
MGRB	MGRB	-1.55080e-01	-1.58847e-02	3.14075e-02	1.43689e-02	-2.32695e-02	-7.31568e-03	-2.37487e-02	-7.00941e-04	1.63697e-02	7.93890e-03	8.12655e-03	-2.90891e-03	-1.27555e-02	-4.59428e-03	-1.34746e-02	-9.23445e-03	-5.38622e-03	2.19361e-02	9.98028e-03	3.34533e-02
MGRB	MGRB	-1.60510e-01	-1.94320e-02	2.66795e-02	1.60172e-02	-1.11057e-02	-1.28051e-02	-2.85321e-02	1.34043e-03	7.32493e-03	1.17770e-03	3.88026e-04	2.24778e-02	3.93210e-03	6.15742e-03	1.92188e-03	-3.77921e-03	3.01057e-04	8.61389e-03	-1.18869e-02	6.78470e-03
MGRB	MGRB	-1.54958e-01	-1.52055e-02	3.87934e-02	1.41701e-02	-3.05555e-02	-8.01652e-03	-2.83040e-02	1.46581e-02	2.08429e-03	-1.02563e-02	8.80802e-03	1.12522e-02	2.98335e-03	1.64800e-02	1.55695e-02	5.27505e-03	-3.76539e-03	-2.25873e-02	9.63754e-03	5.68756e-03
MGRB	MGRB	-1.51822e-01	-1.67947e-02	2.56782e-02	2.04059e-02	-5.97849e-05	-4.42515e-03	-2.14222e-02	6.91639e-03	-6.42371e-03	1.52880e-02	2.55399e-03	-1.06220e-03	-6.26269e-03	1.12459e-02	-2.95057e-03	1.32448e-02	-3.67727e-02	4.37714e-03	2.72985e-02	3.79314e-02
MGRB	MGRB	-1.53063e-01	-2.08970e-02	3.36329e-02	1.81889e-02	-1.27183e-02	-1.40878e-02	-2.31861e-02	-6.60485e-03	1.30080e-02	2.11040e-02	-1.56816e-02	-4.71441e-03	2.82564e-02	-5.58879e-03	-4.29945e-03	8.89267e-03	-2.31678e-02	6.95160e-03	1.42381e-02	4.34508e-04
MGRB	MGRB	-1.43520e-01	-1.50310e-02	2.29244e-02	1.67800e-02	-1.07329e-02	1.49538e-03	-1.88207e-02	-7.48195e-03	1.40754e-02	4.83261e-03	-2.36677e-03	3.04706e-03	-9.44718e-03	1.29140e-04	-1.83665e-02	-2.35980e-02	-2.68680e-03	7.76734e-03	5.57052e-03	-6.85526e-03
MGRB	MGRB	-1.53699e-01	-1.46241e-02	2.29125e-02	1.48537e-02	-7.60362e-03	-6.77271e-03	-1.90347e-02	-5.26590e-03	-1.99501e-03	5.06088e-03	1.76237e-02	2.09628e-02	-1.61220e-02	-2.54195e-03	1.23330e-02	5.64680e-03	5.37712e-03	-1.11693e-04	8.15142e-03	3.85712e-03
MGRB	MGRB	-1.53550e-01	-1.68736e-02	2.95925e-02	2.48882e-02	-9.02727e-03	-5.94423e-03	-1.98602e-02	2.97909e-03	3.64952e-03	6.29216e-04	-1.79296e-03	-1.90677e-02	9.95291e-03	-1.30625e-02	-7.22981e-03	-5.89574e-03	-2.06555e-02	-1.70953e-02	1.29027e-02	2.42847e-02
MGRB	MGRB	-1.55487e-01	-1.57870e-02	2.85160e-02	1.09166e-02	-1.94627e-02	1.70576e-03	-2.84194e-02	-2.02068e-03	-1.53029e-02	8.58311e-03	2.91600e-03	3.70695e-03	-1.57575e-02	1.02921e-02	1.15043e-02	-2.24124e-02	-9.76346e-03	1.61756e-02	-1.14589e-03	-2.49365e-02
